name,lat,lng,adderss,street_id,telephone,detail,uid
中国光大银行24小时自助银行(北京天兆家园社区支行),39.957993,116.36105,北京市海淀区笑祖塔院天兆家园1号,7205a37c0981ba66f4eafce9,,1,7205a37c0981ba66f4eafce9
华夏银行ATM(北京交通大学社区卫生服务中心中医部西南),39.958393,116.349806,北京市海淀区上园村3号北京交通大学内,aa40108bec8ad015c5effb40,,1,aa40108bec8ad015c5effb40
恒丰银行24小时自助银行服务(知春路支行),39.981648,116.340786,北京市海淀区知春路68号,,,1,ac5f68aea945c6ca2bd7ab0e
浦发银行atm,39.982538,116.356722,知春路9号坤讯大厦1层,5d877cc057f92564cafa5f14,,1,5d877cc057f92564cafa5f14
24自助银行服务,39.972268,116.327509,中关村南大街1号,5aa54570ea939a8cad080f2e,,1,5aa54570ea939a8cad080f2e
广发银行24小时自助银行(北京魏公村支行),39.95923,116.330969,北京国际大厦A座2层,,,1,f2b540aefcde69dca1d2308b
中国民生银行ATM(北京魏公村支行),39.962341,116.330279,中关村南大街16号中国科学技术出版社办公楼1层,3a1606eaabcea60681288ae9,,1,3a1606eaabcea60681288ae9
中国邮政储蓄银行ATM(科东南支行),39.983562,116.331462,海淀区科学院南路73号,18165334c4835704fb2d6140,,1,18165334c4835704fb2d6140
中信银行ATM,39.962972,116.329482,北京市海淀区北京理工大学理工科技大厦,9cf51e7fd0dca0c8901fc93c,,1,9cf51e7fd0dca0c8901fc93c
中国邮政储蓄银行ATM(北京东达物业写字楼西),39.979751,116.351515,海淀区知春路22号(北京东达物业写字楼西),878cababfa5572746c476072,,1,878cababfa5572746c476072
北京银行ATM,39.953163,116.325479,北京市海淀区万寿寺路1号北京舞蹈学院,42df80d631c6b60b89fc06aa,,1,42df80d631c6b60b89fc06aa
中信银行ATM(学院南路),39.962716,116.356501,学院南路48号金辉国际商务会议大酒店1层,56884f2f1edba5c9b11e36ef,,1,56884f2f1edba5c9b11e36ef
邮电大学邮政储蓄ATM,39.967679,116.361964,北京市海淀区西土城路10号北京邮电大学,82d8b5a3c3f2ad6a9e82ea39,,1,82d8b5a3c3f2ad6a9e82ea39
北京银行24小时自助银行(海淀路支行),39.98748,116.3237,北京市海淀区中关村大街19号新中关4层,f321cb404c266d7714b54b49,,1,f321cb404c266d7714b54b49
中国工商银行24小时自助银行(北京双榆树西里支行),39.975343,116.327661,北京市海淀区中关村大街42号,dba2dd904dd74334ddee8b33,,1,dba2dd904dd74334ddee8b33
中国银行ATM(北京理工大学外国专家公寓南),39.965152,116.323834,北京市海淀区中关村南大街5号北京理工大学校内,,,1,4ec605c4549ce4a45e17c393
中国工商银行ATM,39.976701,116.327565,北京市海淀区中关村大街40号当代商城F1,bfc64ee09bbc57ec1c389466,,1,bfc64ee09bbc57ec1c389466
中国银行ATM,39.966394,116.329935,北京市海淀区中关村南大街乙12号院1号,6c194258bf68aa0f04026f57,,1,6c194258bf68aa0f04026f57
交通银行24小时自助银行,39.979648,116.35913,北京市海淀区西土城路5号西南60米,,,1,fc16c3813f1e564ab5f42fc2
北京市农村商业银行24小时自助银行(黄庄分理处),39.982426,116.325713,中关村大街28-1海淀文化艺术大厦A座,e4f6d955ce45aa9e90114ca0,,1,e4f6d955ce45aa9e90114ca0
上海浦东发展银行ATM(双榆树二街),39.976037,116.328928,北京市海淀区中关村大街甲38号燕山大酒店大堂中心,0d1f840e70550bc49cec2b84,,1,0d1f840e70550bc49cec2b84
广东发展银行ATM(知春路支行),39.982809,116.343643,知春路49号希格玛大厦,f60a15edd615a192bb17e7c0,,1,f60a15edd615a192bb17e7c0
工行atm,39.959726,116.351496,交大东路11号交通大学家属院内,d5f93c0ecda97222eddfca73,,1,d5f93c0ecda97222eddfca73
中国建设银行24小时自助银行(北三环储蓄所),39.972619,116.334602,北三环西路34号,e9028067299b219fd7851fcd,,1,e9028067299b219fd7851fcd
